ANO,MES,PODER,UO,UG,FONTE_MAE,NATUREZA3,VALOR_EMPENHADO
2024,2,EXE,11504,410504,501,333000000,23000.0
2024,3,EXE,11006,110006,500,333000000,552.0
2024,3,EXE,29031,520031,500,333000000,69.0
2024,3,EXE,29031,520031,500,333000000,60.37
2024,3,EXE,27524,510556,500,333000000,3945.0
2024,2,EXE,14555,520555,501,333000000,603.75
2024,2,EXE,29032,520032,500,333000000,2000.0
2024,2,EXE,24573,540573,500,333000000,0.0
2024,2,EXE,27524,510524,500,333000000,4800.0
2024,2,EXE,13569,130569,802,333000000,4359.19
2024,2,LEG,1001,10001,500,333000000,39150.0
2024,2,EXE,19035,540035,500,333000000,2500.0
2024,2,EXE,34051,340051,500,333000000,1403.63
2024,2,EXE,20516,510516,500,333000000,1242.0
2024,2,MPE,3004,30004,500,331000000,325552.96
2024,2,EXE,19036,540036,500,333000000,440.9
2024,2,EXE,19033,540033,500,333000000,1572.06
2024,2,EXE,27524,510524,500,333000000,10560.0
2024,2,EXE,20020,510020,500,333000000,2637.0
2024,2,EXE,19512,410512,501,333000000,333.18
2024,2,EXE,27524,510556,600,333000000,0.0
2024,2,EXE,19035,540035,500,333000000,1145.12
2024,2,LEG,1001,10001,500,333000000,22632.6
2024,2,EXE,27524,510524,600,333000000,17100.0
2024,2,EXE,36021,360021,500,333000000,2834.96
2024,2,EXE,21018,410018,500,333000000,40000.0
2024,2,EXE,16506,410506,500,331000000,40699.72
2024,2,EXE,19033,540033,500,333000000,250.0
2024,2,JUD,2003,20003,500,333000000,12000.0
2024,2,EXE,20020,510020,500,333000000,2799.96
2024,2,EXE,27524,510023,500,331000000,432291.4
2024,2,EXE,11564,110564,500,333000000,15000.0
2024,2,EXE,14030,520030,500,331000000,1906.17
2024,2,EXE,18520,510520,501,333000000,12000.0
2024,2,JUD,2003,20003,500,331000000,90147.97
2024,2,EXE,16537,520537,700,333000000,550.44
2024,2,EXE,14030,520030,500,333000000,0.0
2024,2,EXE,19033,540033,500,333000000,166.66
2024,2,EXE,27524,510524,500,333000000,69.0
2024,2,EXE,24037,540037,500,333000000,6747.98
2024,2,EXE,27524,510556,600,333000000,29341.12
2024,2,EXE,27524,510524,500,333000000,43800.0
2024,2,EXE,21018,410018,500,333000000,99.64
2024,2,EXE,11006,110006,500,333000000,14000.0
2024,2,EXE,13571,130571,801,331000000,1137982.11
2024,2,EXE,27524,510524,500,333000000,647391.68
2024,3,EXE,24037,540037,500,333000000,2000.0
2024,3,EXE,15024,510514,500,333000000,81000.0
2024,3,EXE,16026,510514,500,333000000,24000.0
2024,3,EXE,23542,530542,501,333000000,483.0
2024,3,EXE,21018,410018,500,333000000,0.0
2024,3,EXE,19512,410512,501,333000000,2277.0
2024,3,EXE,17010,110010,500,331000000,1198.52
2024,3,EXE,19047,190047,500,333000000,350.0
2024,3,EXE,24037,540037,500,333000000,-6481.98
2024,3,EXE,14528,520528,500,331000000,0.0
2024,3,JUD,2003,20003,500,333000000,34480.37
2024,3,EXE,20020,510020,500,333000000,0.0
2024,3,EXE,14541,530541,500,331000000,3032.95
2024,3,EXE,27524,510524,500,333000000,60.38
2024,3,EXE,21018,410018,500,333000000,0.0
2024,3,EXE,23542,530542,501,333000000,0.0
2024,3,EXE,23542,530542,501,333000000,0.0
2024,3,EXE,24547,540547,500,333000000,-31665.0
2024,3,EXE,18021,510021,500,333000000,90000.0
2024,3,EXE,11011,110011,500,333000000,1412.0
2024,3,EXE,14030,520030,500,333000000,69.0
2024,3,EXE,19512,410512,501,333000000,148000.0
2024,3,EXE,20020,510020,500,333000000,690.0
2024,3,EXE,23542,530542,501,333000000,2000.0
2024,3,JUD,2003,20003,500,333000000,-110810.16
2024,3,LEG,1500,10500,759,333000000,5460.0
2024,3,EXE,23542,530542,501,333000000,552.0
2024,3,EXE,23542,530542,501,333000000,483.01
2024,3,EXE,27524,510023,500,331000000,1453.61
2024,3,EXE,18021,510021,500,333000000,0.0
2024,3,EXE,20020,510020,500,333000000,207.0
2024,3,EXE,24037,410506,500,333000000,27855.58
2024,3,EXE,19033,540033,500,333000000,0.0
2024,3,LEG,1002,10002,500,333000000,5800.0
2024,3,EXE,21018,410018,500,333000000,0.0
2024,3,MPE,3004,30004,500,333000000,1905.22
2024,3,EXE,35032,350032,500,333000000,276.0
2024,3,EXE,23542,530542,501,333000000,6896.24
2024,3,EXE,38001,380001,500,333000000,7000.0
2024,3,EXE,19033,540033,500,333000000,0.0
2024,3,EXE,27524,510556,600,333000000,2817.6
2024,3,EXE,26031,530031,500,333000000,362.25
2024,3,EXE,13548,410548,500,333000000,9890.8
2024,3,JUD,2501,20501,760,333000000,292500.0
2024,3,JUD,2561,20561,759,333000000,1650.0
2024,3,EXE,27556,510556,500,333000000,0.0
2024,3,EXE,23542,530542,501,333000000,2970.0
2024,3,EXE,19035,540035,500,333000000,3000.0
2024,3,EXE,15024,510024,500,333000000,29.9
2024,3,EXE,13571,130571,801,331000000,195258.24
2024,3,EXE,35032,350032,500,331000000,599517.39
2024,3,EXE,14541,530541,500,333000000,3980.0
